Fz,FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4,P1,Pz,P2,POz,true_label
-22.594720469496952,-22.77452236618681,-22.441620474559503,-22.397394056125478,-22.70471649668808,-22.91967848050132,-23.611904497456685,-23.103768036329274,-22.812266471325778,-22.674444173970755,-22.840781245996514,-23.023740578952662,-23.323067369812915,-23.44882768488763,-23.300953134586702,-23.0502544112071,-23.126606387445978,-23.29944884405193,-23.624207384603015,-23.617496808159018,-23.574616971573587,-23.60214595502718,left-hand
-22.641215698522856,-22.9887618768505,-22.77470907861946,-22.694731869214323,-22.909145321152565,-22.862689644884657,-23.59842085947251,-23.475563321241726,-23.366925108902677,-23.10312915241575,-23.197119900615995,-23.16197881273982,-23.155695084947737,-23.754702019868628,-23.482936948127325,-23.41321447266554,-23.3751722203744,-23.380379686591933,-23.678638808455023,-23.484739045291867,-23.518602024245368,-23.528569891375476,right-hand
-23.41406308102274,-23.365400004398648,-23.244162818334694,-23.06914844630799,-23.36280761692713,-23.483250758600278,-23.597912936067928,-23.351727132879965,-23.227808016023246,-23.055316764701853,-23.33268016675578,-23.62822190440944,-24.006760040470137,-23.453445592151336,-23.292948842161678,-23.27823883141748,-23.58231921065746,-23.800261200726574,-23.610636179374882,-23.55382566314749,-23.780293199339198,-23.553002004709686,right-hand
-22.609248188583248,-22.840073830539662,-22.65874866738215,-22.414987287143845,-22.600598827437295,-22.61964763254872,-23.46692408309266,-23.099474684840757,-22.85851040254128,-22.690302412794217,-22.855306714145097,-22.893094280501515,-23.131443321302076,-23.174798791940997,-23.107725439193583,-22.94094508879405,-23.002554726744062,-22.603898607508718,-23.22843751569105,-23.15703609552466,-23.198363536289488,-22.853249259260966,right-hand
-23.114926105574963,-23.338093113893915,-23.23701894585926,-23.207570060502487,-23.13734613779321,-23.10082158641621,-23.66474065431915,-23.41031779745152,-23.218868408352776,-23.12666440145965,-23.127717571549596,-23.23845171176348,-23.428044760300605,-23.491000787747982,-23.284587282741434,-23.183346201199853,-23.199503090129554,-23.32098806517787,-23.28465621412953,-23.160404311554252,-23.320596515448646,-23.090801217971286,left-hand
-22.71801887258452,-22.851843881908433,-22.7456814664774,-22.750731318718906,-22.754945749635233,-22.76045644946486,-23.133159048479207,-22.99916011114777,-22.89944345552026,-22.921035883534802,-22.96570366310711,-23.072911752461536,-23.1819871905181,-23.2194223971032,-23.166470679167873,-23.254332830207808,-23.187333360117933,-23.31197451490966,-23.371591775837427,-23.293054728798545,-23.37921787804279,-23.282312003997678,left-hand
-22.807585284118726,-22.90559191744974,-22.612934682345564,-22.463169559366715,-22.485071242389527,-22.48604585758204,-23.165653471055382,-22.832243855219794,-22.58152314297892,-22.39783631900026,-22.42165310060828,-22.522356457693444,-22.681103459035874,-22.836809919274113,-22.59847603815835,-22.451386432953548,-22.41549054614222,-22.522556608983585,-22.665867646618572,-22.531727196107724,-22.52801218006999,-22.65321562348177,left-hand
-23.198140199902436,-23.12009250709116,-23.00323622827334,-23.239328296011287,-23.156830497014553,-23.191690225484404,-23.619158540745886,-23.296906649246445,-23.123312709045496,-23.177518466378817,-23.23621511526374,-23.259462729368806,-23.2485151363962,-23.58043287441364,-23.37757251611028,-23.175664499001854,-23.336002130251646,-23.297224852262655,-23.526834274010508,-23.444313027484633,-23.48415809359642,-23.57557760817818,right-hand
-22.990194720965178,-22.989611440561344,-22.877465915416163,-22.78520181577197,-22.845740684957796,-22.954662277078874,-23.41112245266754,-23.116074998278002,-22.920587617493037,-22.785912108829766,-22.866787915461934,-23.11139143623241,-23.393143714749186,-23.086681226812424,-22.989597828614762,-22.921401273248378,-23.02694816177564,-23.24791324170221,-23.087505531705485,-23.030403149519383,-23.196885526061415,-23.104483464594946,left-hand
-23.18056378392723,-22.896022037989162,-22.809962945791582,-22.98803497491199,-22.96421040945713,-23.024485819037658,-23.218200628231937,-22.937910001660594,-22.86017161638262,-22.836583069619685,-22.972847329855863,-23.115305446770844,-23.251584554975533,-23.10464504050311,-23.055688102680065,-23.01658356864526,-23.042369595300695,-23.225882168745446,-23.06448609831099,-23.190897933127268,-23.210267040231063,-23.223710323638752,left-hand
-23.1495535514337,-23.175475746856787,-23.017653174418772,-22.979688727558475,-23.06400328241471,-23.224609673711416,-23.538946329441096,-23.113395084606392,-22.693871311799207,-22.98483135362241,-23.04076839149841,-23.309874541595605,-23.296121206412536,-23.345506046476967,-22.956886173167568,-23.04076471307722,-23.287075154650438,-22.012281042606528,-23.398477148347666,-23.3446382165909,-23.432772596056093,-23.064334549091623,right-hand
-23.018715592774203,-23.184394889572786,-22.895307937787617,-22.94230466933507,-23.02631080205337,-23.064131990711207,-23.348763345793028,-23.221087134586735,-23.004457978943037,-22.934812873566187,-23.043814116927066,-23.167596420889634,-23.313774501887806,-23.275035240011235,-23.286346395360223,-23.01895736397242,-23.07725606144349,-23.295794484907475,-23.344550989708544,-23.318646047689192,-23.236620658700733,-23.494145662516203,left-hand
-23.531505771687478,-23.615584966272078,-23.341066308863933,-23.489481629480835,-23.48899490078594,-23.440171036513718,-24.088990988329094,-23.748367694957505,-23.599850344890626,-23.39155530593104,-23.443877050684325,-23.448648785195946,-23.388824524255277,-23.85748407856558,-23.612978498892133,-23.5026150306621,-23.408784272290347,-23.429754376607132,-23.64135937789514,-23.511592685551904,-23.49575782314262,-23.564905197757366,left-hand
-23.520191590776907,-23.37101598744005,-23.302184323044994,-23.347469018478485,-23.348747013118576,-23.36190930034233,-23.80640206220697,-23.43282187859404,-23.332666557302627,-23.150933249083565,-23.396660523962314,-23.436212870888095,-23.399226334145187,-23.587027860905124,-23.4485140129136,-23.419908318403213,-23.413552817762216,-23.634976676385914,-23.571402353820293,-23.532334536959365,-23.708305662119695,-23.486347586870306,right-hand
-23.170241348845497,-23.378759422838712,-23.160642183937494,-23.03874160020898,-23.162361128759816,-23.294968349617555,-23.759479184836003,-23.38356591954411,-23.24838312451589,-23.13369227214316,-23.247682847544418,-23.32874594344527,-23.40036212282044,-23.41888165017344,-23.32649571018948,-23.250583491590685,-23.351018233027673,-23.355245648399166,-23.408014477510424,-23.301184330124215,-23.412858266171007,-23.31849000581061,left-hand
-23.213190856052165,-23.451410664874064,-23.202006841069814,-22.98052450819969,-23.130930786846175,-23.332414880612273,-23.6992563706181,-23.43594897453746,-23.24962136093785,-22.98041441560697,-23.222563761792696,-23.36905629352607,-23.57995541422709,-23.48146592854562,-23.244283477103238,-23.136593073705612,-23.20857990309121,-23.433699198932054,-23.42791900916194,-23.348398295147415,-23.453880347863365,-23.467663167835735,right-hand
-23.345323441749333,-23.64548619891622,-23.415480954867753,-23.23839591866786,-23.256233857319053,-23.321085560177803,-23.874778357300542,-23.77564972439733,-23.45384142864707,-23.228530129473366,-23.256189670540092,-23.37486107922692,-23.658663088575825,-23.859844004625746,-23.604816863290765,-23.422434733558468,-23.45766405133568,-23.47375751992959,-23.67193840884053,-23.518572209846244,-23.59759479136753,-23.576788471970527,right-hand
-23.602501200214164,-23.457161734036056,-23.422868977454073,-23.259511518380375,-23.39657471876093,-23.467029188432694,-23.830541403264935,-23.559498948928404,-23.436892048610197,-23.372683099532214,-23.45917840264747,-23.546377982699813,-23.654715206746967,-23.714245247852613,-23.641381085996187,-23.54419218142003,-23.51828909540447,-23.69433936555194,-23.84725300819015,-23.83328874514876,-23.850219812025102,-23.954159309828288,left-hand
-23.278171936559538,-23.63379717365575,-23.383073978075224,-23.178982000224547,-23.18522510359566,-23.27631429367379,-24.004811710721366,-23.783326692739188,-23.511270630097616,-23.293193021172016,-23.362755255290406,-23.481322599917725,-23.691677371596512,-23.729398419363772,-23.614846859949715,-23.556288235488765,-23.577307626285286,-23.571188116798627,-23.64669324011786,-23.63632385158896,-23.662386693685463,-23.63702491784085,right-hand
-22.85581369442487,-23.151164987347475,-22.899207238292252,-22.909946149071235,-22.9812090310808,-23.113688148331526,-23.76514039713278,-23.319285549732985,-23.094947655141116,-22.941860535706695,-23.036819179438645,-23.21365931363426,-23.355213168593153,-23.43011522504199,-23.182828126902308,-23.061178649277196,-23.216685756706006,-23.335418394060937,-23.28174214461431,-23.222027872738266,-23.271661509959504,-23.184346725670682,left-hand
-22.990624026564454,-22.879716235846953,-22.772062755135128,-22.51298699873527,-22.739488826737507,-22.760686932614078,-23.25082566180959,-22.828782544021372,-22.756470359934845,-22.535115933846853,-22.813569996824892,-22.928614623632225,-23.20252334262295,-22.95485751012451,-22.857312489691182,-22.754569631475594,-22.84516857206484,-23.04491413989239,-23.013007845601646,-22.908761646837625,-23.04795664523621,-22.968225923252387,left-hand
-22.922556383980506,-23.191291694069065,-23.02881915981998,-22.685278341709434,-23.02829082805322,-23.258784146390155,-23.75237679074793,-23.44402336932922,-23.213595221385585,-23.013768493865832,-23.23726574679906,-23.432861134446355,-23.581183891024875,-23.73078857521063,-23.51215723022426,-23.349224063431137,-23.438429126758972,-23.546335773346712,-23.764469688685594,-23.636069088094047,-23.465567748152694,-23.713975155561215,right-hand
-22.87259931508328,-22.963255917496546,-22.943245245274333,-22.729327466636192,-22.822832082319593,-22.854014727260378,-23.679088275034818,-23.16187336820112,-23.02686033127394,-22.875075953951374,-22.934659121814192,-23.068108897062583,-23.360303075446804,-23.35727487641852,-23.204431362675653,-23.192073938104578,-23.098904503638845,-23.265407664205355,-23.49670743132318,-23.38855831145564,-23.420689308798103,-23.57554918545897,left-hand
-23.39882771404688,-23.53268007183472,-23.336540535613114,-23.23161182520941,-23.278583932674238,-23.43777482035764,-23.818535523789542,-23.62553351868828,-23.44603241629679,-23.213473261845397,-23.325533534261357,-23.453322309236853,-23.791014267321735,-23.516102421082635,-23.39707003085775,-23.236544834887923,-23.337374797271963,-23.415810630810277,-23.37538118956262,-23.31735154780382,-23.370321414177834,-23.326185312775262,right-hand
-22.841826766346717,-22.94308439735964,-22.791000356143797,-22.72241790809438,-22.92041973044046,-23.16191456127267,-23.49219457808398,-23.127202721025128,-22.887983451270156,-22.738902502089392,-23.025745363765935,-23.272288001648608,-23.570005209909887,-23.22243803363874,-23.079627661824556,-23.003537422449906,-23.10751296776142,-23.364561043191387,-23.204306525597854,-23.17293825489855,-23.25090926475251,-23.13051105819569,right-hand
-23.155531561456996,-23.214657703767184,-23.04490714130951,-22.802373266967294,-23.005632624447472,-23.259558864067326,-23.441398539253186,-23.287883141999504,-23.03478439535481,-22.88394816724779,-23.04529631743499,-23.301305160791237,-23.50409597661336,-23.343834312229134,-23.142041096740837,-23.04899076740618,-23.129116723167858,-23.33239440712796,-23.13824648751417,-23.037442338031738,-23.148785741582373,-22.933931428935644,right-hand
-23.5092005152931,-23.21480572809482,-23.186409569108168,-23.105432451709717,-23.29855153858982,-23.306068989299582,-23.491561115878877,-23.130652960358415,-23.134578810779256,-22.95944417851184,-23.199796295849392,-23.260349735891023,-23.502216919228648,-23.20440935829678,-23.19863917790319,-23.063837937868346,-23.21921664030978,-23.316751932884348,-23.2821032437567,-23.23312110018408,-23.333773026968405,-23.334616669901905,right-hand
-22.687085082262097,-22.502547347445738,-22.376311876978612,-22.45507901495816,-22.528733335313493,-22.68345549224644,-22.89046746556112,-22.48427634174605,-22.3071156887351,-22.217383970474724,-22.40804144074083,-22.602624006872215,-22.977560252531067,-22.455041507460695,-22.2664427822654,-22.208308566983582,-22.38156522232099,-22.59001966677253,-22.317611822917222,-22.23284726381942,-22.358682843439833,-22.2181953073004,right-hand
-22.547079561657053,-22.809076341848105,-22.672149036699473,-22.80068481296509,-22.917279964698533,-22.952034075182578,-23.411828986493735,-23.243326437661718,-23.179517657702974,-23.237439073984486,-23.192768440428658,-23.30742212914617,-23.458026005386156,-23.4234759868561,-23.406654734378368,-23.45084320775755,-23.370060484868347,-23.341741373086368,-23.40181332824439,-23.375331276447277,-23.363769047006038,-23.142291354767167,left-hand
-22.977744102481306,-23.386283726859034,-23.13331109603556,-23.065861101057028,-22.9983155741605,-23.035070315383354,-23.712741971803585,-23.55911151255974,-23.349348073173637,-23.131391282358493,-23.229228687969886,-23.385767620819028,-23.487264847630666,-23.66179424981381,-23.516788554387166,-23.464405898439722,-23.469951652477572,-23.557829312295716,-23.637946484372165,-23.563997060354584,-23.600604570592967,-23.538653088437023,right-hand
-22.37963048081766,-22.436256462029675,-22.492892540088107,-22.443373611348044,-22.403273401423103,-22.23293853489347,-22.497908913331205,-22.656396426990092,-22.704186914299605,-22.595780547913556,-22.54644366197523,-22.41938987229189,-22.313134350699617,-22.74681850471332,-22.835851644546487,-22.76845007307946,-22.728794825258614,-22.636101304320135,-22.819894642348167,-22.83231874572586,-22.840045952981697,-22.857329974798525,left-hand
-23.126434474770445,-23.14957686358032,-22.909921349695637,-22.954542651275702,-22.960179608738173,-23.061847628289886,-23.74879323064085,-23.27346495412742,-23.018537024557546,-22.87114158029667,-22.97588398855569,-23.18157935687424,-23.314600033666576,-23.46097219085759,-23.29335899726885,-23.01953120080923,-23.12893126875644,-23.281948365411978,-23.364174798139324,-23.35675573149391,-23.404904010825383,-23.472600433084395,left-hand
-22.76869693344527,-22.8602039395183,-22.706072988861255,-22.612790557902567,-22.612764057420005,-22.69748183606614,-23.452139098529422,-22.862646386339996,-22.704528503633725,-22.5917921591656,-22.660462003333365,-22.884994685488845,-23.322747896144666,-23.00330876767938,-22.781611806786287,-22.720163247959796,-22.843310369928123,-22.990696209239687,-22.96438626081557,-22.881781946242445,-22.956871664299644,-23.07701623938649,left-hand
-23.470709942010334,-23.49863965344559,-23.40905648466804,-23.26680247230707,-23.400814912687903,-23.414306074706097,-23.908246833565464,-23.626203938316472,-23.493316431640423,-23.444395056993272,-23.58059429290388,-23.712693828450103,-24.044536044248243,-23.588277949087562,-23.563688543465002,-23.41773776777497,-23.453304761303208,-23.797243216967637,-23.494203396250825,-23.361096464129687,-23.64522678754468,-23.37753333829934,right-hand
-22.715179701226795,-22.892022404626303,-22.59328813038934,-22.592986146564925,-22.697580113130552,-22.834258027627477,-23.55084860481791,-23.05820533947733,-22.849476012636224,-22.767212119245084,-22.862692075195497,-23.015980918686438,-23.403749416814236,-23.379667305661716,-23.10456548741601,-22.981746821350544,-23.01587091287396,-23.087825297483835,-23.18201004482352,-23.126798901437198,-23.031030373904425,-23.20260835203293,right-hand
-22.645892948012417,-22.473129175610172,-22.447560602168124,-22.388363700931695,-22.647490177019904,-22.94222045823252,-22.868519578386714,-22.646377003830242,-22.509569122216025,-22.495836360220064,-22.62998347999816,-22.905431770946635,-23.41376673115678,-22.78060369762742,-22.66349835530209,-22.644717446437763,-22.74765510961306,-22.969950891352735,-22.825423078113158,-22.824951240147307,-23.002091026983674,-23.068056470459442,left-hand
-22.802041401707644,-22.71594393047024,-22.604209598042964,-22.897313048965223,-22.844645556378918,-23.008639311421692,-23.138701610613396,-22.929972261770693,-22.78862352119375,-22.775023237714464,-22.99100958296546,-23.19650426138037,-23.52584321454354,-23.16294876824952,-22.991328398525532,-22.984491909234425,-23.151545137091695,-23.349126816814827,-23.100231836911114,-23.075631336053444,-23.251099069377947,-23.0348611844247,right-hand
-22.998995862963287,-23.087642880492698,-23.051187615963762,-23.071131301857015,-23.028102608574986,-23.098080388651756,-23.650424816566446,-23.358401081321137,-23.088286764185817,-22.873665959759613,-23.123521939890544,-23.328236750764088,-23.65766734588548,-23.535645527677584,-23.232761425042163,-23.305457683839354,-23.379263911659425,-23.52303598789977,-23.62056424254992,-23.346962432321703,-23.545233825064624,-23.463341844830442,left-hand
-23.774269604199407,-24.07051663939694,-23.921685952866703,-23.723773095829607,-23.859006646234967,-23.763124636326882,-24.393593244956353,-24.35835079759935,-24.229281240756574,-23.91860193820243,-23.9934120682805,-23.953795011538755,-23.961297315978452,-24.3007407225032,-24.159396125228035,-23.989235772496762,-23.964895029371693,-23.901718840581342,-24.140848869379077,-23.987902364207766,-23.930093570282985,-23.798778957600554,right-hand
-22.941727176262418,-22.862420564996928,-22.70298149742016,-22.612864321276827,-22.743129087570765,-22.978168549605307,-23.18912590401443,-22.839524105010504,-22.650210614417446,-22.520686537717523,-22.68839212721818,-22.879550705133397,-23.308825446978123,-22.922971459655187,-22.761296714632433,-22.555041413084158,-22.681277909561082,-22.930775641695828,-22.925924108762366,-22.814418061548693,-22.888006632380726,-22.92022149521389,left-hand
-23.229870427068562,-23.61306204639104,-23.338444383188584,-23.289447576174425,-23.260780507043155,-23.35411239570188,-24.00367541427819,-23.7012606548438,-23.437662091879893,-23.33249431651632,-23.437011595961774,-23.535558360199033,-23.65838174641567,-23.724979671390116,-23.575124097814385,-23.431992278686973,-23.55655021318844,-23.610717477467563,-23.602195508654226,-23.489269689207784,-23.51315328650442,-23.300107547438493,right-hand
-22.633941192564997,-23.15220425434956,-22.947279282665292,-22.8694377532456,-22.76743510594965,-22.934899423739044,-23.82345114009907,-23.46830482303131,-23.1673187666432,-23.071866987587697,-23.04168619312159,-23.216837775535392,-23.41726794227334,-23.587690343466452,-23.286703714436282,-23.14344274833773,-23.198293391280234,-23.329311457572913,-23.4425291740949,-23.18617634768386,-23.331305769861814,-23.352921962933994,right-hand
-22.843054873820982,-23.12607218385215,-22.810466590616407,-22.762399774194392,-22.771473587175965,-22.880482862659097,-23.825110404033744,-23.350193884359246,-23.05084317228091,-22.886446637919114,-22.95680722254678,-23.079786780606764,-23.259890467171335,-23.50928727095835,-23.297564805937387,-23.22436679040623,-23.170286083470014,-23.138825460438383,-23.346684918249164,-23.200756510706086,-23.13248944372741,-22.98320144370322,right-hand
-23.20556998019818,-23.409984045746665,-23.256239500879804,-23.068059255864476,-23.1695616508449,-23.24879482562718,-23.90740918523477,-23.700464225770702,-23.536988612839018,-23.33060304610237,-23.397548992107275,-23.460526682463126,-23.458508912667792,-23.533143082603715,-23.61627542449586,-23.574187494307825,-23.528938100880907,-23.400059822171546,-23.408062974146173,-23.517781906090534,-23.5190852663329,-23.393863835388114,left-hand
-23.083205236451015,-23.045906198400658,-22.884185773184143,-22.826760133636995,-22.83884692426568,-23.14272752762842,-23.155301739974732,-22.97203610282038,-22.75066627889285,-22.66703778020096,-22.822625736801115,-23.11192346527587,-23.52530310749616,-23.14739855535059,-22.939624711227477,-22.94765941728126,-22.984745040175394,-23.25534053508594,-23.216948716540927,-23.164725266819342,-23.314515133287955,-23.286432773930077,left-hand
-23.852889675401048,-24.087209319236017,-23.98351063878188,-23.725954508837642,-23.864259892422712,-23.780333555704157,-24.249514520893147,-24.218284981813344,-24.124725704226776,-23.856310358075568,-24.018208270463678,-24.028781868294462,-24.13912573952885,-24.12478236895789,-24.019369195060612,-23.825223877020985,-24.020388366785195,-24.032412803020808,-23.886634400717405,-23.967568390228088,-23.94939988989792,-23.81453250519731,right-hand
-23.196743524748992,-23.324204389093,-23.10883334001216,-23.099948646479888,-23.111529611877767,-23.35187933189844,-23.824644769388218,-23.54336889572422,-23.258107707781612,-23.064344559155703,-23.14447240597902,-23.360338519235693,-23.429248179754577,-23.545862604870095,-23.359830434022577,-23.247233285306546,-23.273101220713862,-23.28304041813503,-23.484067458761167,-23.32857476381972,-23.267424347738505,-23.23014717186379,left-hand
-22.71983446533507,-22.93426710089698,-22.754527388833342,-22.629601357253552,-22.678829941634692,-22.85083107029671,-23.334121613541644,-22.9040596551945,-22.708352369540656,-22.628882048359433,-22.7839362986256,-23.062569686792173,-23.45752335943382,-22.879080381631123,-22.727923294711974,-22.692232339955975,-22.907658788119388,-23.13714657280584,-22.87738033203527,-22.829995039785846,-23.037892804877593,-22.986548919356427,right-hand
-23.176844453220863,-23.1967142218088,-23.00397566811236,-22.98132951839879,-23.03047002193852,-23.180916299641545,-23.372552115555713,-23.045447634378924,-23.02577072914662,-22.921777796940738,-23.056620690201076,-23.160365799009114,-23.440306421111544,-23.14985870294293,-23.09429068708065,-23.126250466035785,-23.209089044340345,-23.21984908968196,-23.408101130213016,-23.372547529403974,-23.409553400365553,-23.506667662938753,right-hand
