C3,Cz,C4,true_label
-25.392656626151876,-25.30151994488643,-25.235879057374007,right-hand
-25.320786755746568,-25.582190406188353,-25.555575018769893,right-hand
-25.05540924589528,-24.925984009141047,-25.31886319360576,left-hand
-25.653961125081356,-25.485829207985457,-25.425602328163738,right-hand
-25.325458787747067,-25.43088607854085,-25.122991212280365,right-hand
-25.34015578956493,-25.638606152589684,-25.655254917385687,left-hand
-25.519992794663004,-25.180454193409727,-25.939310351212217,left-hand
-25.71590261519318,-25.527464982140664,-25.6795304187736,left-hand
-25.51609347202841,-25.26971514237657,-25.774000914168237,right-hand
-25.482194447708295,-25.115778921665004,-25.43491170026021,right-hand
-25.37555308739014,-24.663399228506623,-25.053390802621877,right-hand
-24.824491316180318,-24.738037761791993,-25.0211492113661,right-hand
-24.606786466002006,-24.388886826264432,-24.66091843488365,right-hand
-25.515804245120627,-25.304392690636355,-25.18268882992452,left-hand
-24.873178962589034,-25.355778768205955,-25.3540427938335,left-hand
-25.304528934594614,-25.019184397838544,-25.693296754424498,left-hand
-25.413451186111633,-24.704651080534738,-25.40707594789724,left-hand
-24.781253294241015,-24.703271029555992,-25.033570859968542,right-hand
-23.891920574237158,-24.879190637588078,-24.18696289094734,left-hand
-24.14207579070708,-25.387771912031763,-25.022609752177686,left-hand
-24.763724930363143,-24.951853860768473,-24.8646483901091,right-hand
-25.3558895416549,-25.21109441449511,-25.262255946727343,left-hand
-24.915859391326553,-25.623301457950173,-25.204927390263755,right-hand
-23.850032538389318,-25.467536869212044,-25.08349539984498,right-hand
-25.55227569517327,-24.91920680411639,-25.452446375479003,left-hand
-24.72661686685467,-24.85996717416023,-25.70403100396732,left-hand
-25.612650196388,-25.379038414629523,-25.75788174653477,right-hand
-25.39568479223011,-25.484824683741895,-25.49259985835176,right-hand
-25.184947019096434,-25.18439292600268,-25.619734359103692,right-hand
-25.434038382384138,-25.213038433243344,-25.612138016453223,right-hand
-25.36732187767935,-24.963686138888814,-25.14572253072557,right-hand
-25.470264723549835,-25.348212542800635,-26.01951491359392,left-hand
-25.784170784442523,-25.489727223549654,-25.438136994527248,left-hand
-25.53929784713459,-25.20121604899253,-25.38308050320993,left-hand
-25.507342774950306,-25.258320953758833,-25.006913268964297,right-hand
-25.32076998991915,-25.36705714603678,-25.69889815805532,left-hand
-25.71269944627577,-25.2955248898017,-25.46004372728756,right-hand
-25.423771194411525,-25.10686175189099,-25.502476675009603,left-hand
-25.21042160212125,-25.404850227530883,-25.20893921463312,left-hand
-25.865895951932355,-25.44975583535403,-25.658331777681205,right-hand
-25.073617740258545,-25.238856028642793,-24.84626568018258,right-hand
-25.65317201913261,-25.07498730317892,-25.251430630424537,right-hand
-24.939951185947695,-24.97081863526766,-24.813251443653872,left-hand
-25.878890103730114,-25.577335475689996,-25.776371402835707,left-hand
-24.861390330714688,-24.836153482573234,-25.559843684685333,right-hand
-24.947001462858264,-25.41823401098052,-25.237930207823435,left-hand
-25.069901977283664,-24.82042293144115,-25.338642583659162,left-hand
-24.996152034781495,-24.727862407147022,-25.17621768685079,left-hand
-25.568773407731495,-25.21498311891967,-24.640667633168988,right-hand
-25.224641939484652,-25.263111508377996,-25.794538530145058,left-hand
-25.211483378690758,-25.3024562149227,-25.684910298664054,right-hand
-25.062984193220856,-25.433066591349423,-25.54659162640113,left-hand
-24.82683220689814,-25.222445218812116,-25.16432714252555,right-hand
-25.181401904072324,-24.843900191607762,-25.128986460805173,left-hand
-25.71974071847152,-25.190456040048854,-25.480943269063268,right-hand
-25.29842753890572,-24.37568162853969,-25.127024732277143,left-hand
-25.552833060386718,-25.24498883093973,-25.081627287044665,right-hand
-25.215318439801134,-25.360921705807517,-25.908420810597192,right-hand
-24.445708898028656,-24.932339649130917,-24.40112928775102,left-hand
-25.629975911541386,-24.767641514127476,-25.002100065475094,right-hand
-24.972614203655514,-25.015588854462965,-24.881840075619614,right-hand
-25.48441597446723,-25.10368805982606,-25.31810506403198,left-hand
-25.552717942859537,-24.85448151409565,-24.888576030580584,right-hand
-25.23496620690022,-25.11848769940807,-25.267454902543847,left-hand
-25.33270784597916,-25.190758498536592,-24.935684952221465,right-hand
-25.03497387052552,-25.10278403371585,-24.92244623519901,left-hand
-25.209952297463218,-24.579778564500877,-24.58317721686307,right-hand
-25.709492189731876,-25.21554234903149,-25.160236947991503,left-hand
-25.150754459874143,-25.087854718942626,-24.468607617735316,right-hand
-25.706888125824246,-25.216302055470305,-24.886201584583578,right-hand
-25.106468292372142,-24.912532181211763,-24.916474796640415,right-hand
-25.726696791493218,-25.217217134982572,-25.36033401412997,left-hand
-25.07499066005217,-25.249205614886307,-24.93984696810121,left-hand
-25.18789082048415,-24.839796603221316,-25.0806946380316,left-hand
-25.2550856454895,-24.821729011356958,-25.04015002998374,left-hand
-25.865262286698336,-25.570320331488897,-25.671811567292746,right-hand
-25.25450487192392,-25.201392853443565,-25.358758164689593,left-hand
-25.19396056020827,-24.927891896060995,-24.735090499258934,right-hand
-25.45048613761209,-25.244171889579125,-24.98511832674615,left-hand
-25.68515922715384,-25.203355626612446,-24.693014284728935,right-hand
-25.236967661623474,-25.032019289783626,-25.14076126388476,left-hand
-25.480831120885725,-25.148239793139403,-25.003523078333348,right-hand
-25.46664904339675,-25.109184236523838,-25.056365318706035,left-hand
-24.86168325211135,-24.77275834876165,-25.01569542266465,left-hand
-25.499958569261562,-24.831354333520363,-25.203649108963788,left-hand
-25.359438584697788,-24.83024261758991,-24.77268701149432,right-hand
-25.297160072880033,-25.12586715740292,-24.93367968264486,left-hand
-25.498525938075957,-25.16162149548395,-25.31203041007911,right-hand
-25.678523577834444,-24.768206113240897,-25.199850852752157,left-hand
-25.27045121337276,-25.061560969856203,-24.961558840403995,right-hand
-25.40177729625904,-25.06653673186306,-25.083949297765745,left-hand
-25.1402105506919,-25.745331141011437,-25.19665275600621,right-hand
-25.255304085684152,-25.164834101117695,-24.914109410201426,right-hand
-25.27540565565558,-25.14702711244847,-25.117325718541988,left-hand
-25.452205219454374,-24.68326291609513,-24.83921414516911,right-hand
-25.123137855289222,-25.02232276569338,-24.90621033404071,left-hand
-25.054792482883325,-24.43571324805824,-25.57280150883978,right-hand
-24.784637771611116,-24.952123462519836,-24.6159764224914,right-hand
-25.059996251086172,-25.080131746986755,-24.93855643411941,left-hand
-25.85431883810757,-25.504432277452786,-25.413471393170305,left-hand
-25.465633291086537,-25.27027480554192,-25.279666959908724,right-hand
-25.73650041268665,-25.26725852193931,-25.25206205419279,left-hand
-25.03513168441161,-24.63992102630871,-24.645965853617128,right-hand
-25.86557910418409,-25.190088053148646,-25.749998417229815,right-hand
-25.480386301106797,-24.874665667208664,-25.045462261041155,left-hand
-25.59416294462598,-25.25054793157286,-25.376043907565883,left-hand
-25.85894628497982,-24.904795481732126,-25.259596275023505,left-hand
-25.847213302152007,-25.057304145835385,-25.066791324832156,left-hand
-25.784939210414283,-24.899318870822004,-25.544467832199423,left-hand
-25.597182884522574,-25.10104741730143,-25.161439576463458,right-hand
-25.207381802849802,-24.857853404210626,-25.532026961371333,left-hand
-25.97893632583807,-25.47760315126945,-25.42150007653606,right-hand
-25.119633109341542,-24.811953514980157,-24.533676235625425,right-hand
-25.78143444259529,-24.960409541724996,-25.337060532569517,right-hand
-25.44433449558072,-25.084329164181714,-24.685089036996533,right-hand
-25.78357938480954,-25.370731854171172,-24.839421737282944,right-hand
-25.30684311760369,-24.814052702616888,-24.91332828095856,right-hand
-25.242193888946588,-25.543907354399803,-24.594282544600063,left-hand
-25.878767287284738,-25.546877244307044,-25.474276001864542,right-hand
-25.582932360444353,-25.115185257957204,-25.112993447977153,left-hand
-25.423602934570205,-25.046670600560432,-25.135001102767674,left-hand
-25.087908868128707,-24.779428999741626,-25.578993100772685,left-hand
-25.29577391102147,-24.594294829091638,-24.887335525988775,left-hand
-25.448278312185252,-25.017835554103943,-25.081760282175274,right-hand
-25.2715317574284,-25.122055872309637,-24.77012964560869,left-hand
-25.491209238994266,-25.3448901804587,-24.89860860202074,left-hand
-25.751631998931703,-25.478373092567086,-25.029524200415747,right-hand
-25.357542254182288,-24.86788316930898,-25.087224475050977,right-hand
-25.331161405768388,-24.79730235332555,-24.683299502121475,right-hand
-25.149512364527883,-24.881492577932654,-25.188764228617664,right-hand
-25.444002660646,-25.064576700739206,-25.195798648766612,left-hand
-25.51026723735231,-24.682628422748692,-25.589001766893343,left-hand
-25.35261356564031,-24.58730921372404,-24.64513630134839,right-hand
-24.992557011126614,-24.67084664814516,-25.14546610177882,left-hand
-25.70026408324223,-25.503770416606926,-25.430544284427526,left-hand
-25.626770856535092,-25.111044420900583,-25.24403921515858,right-hand
-25.88862228284856,-24.89678440735965,-25.281245802033727,right-hand
-24.896360841460197,-24.41244417445083,-24.885240395883173,right-hand
-25.564268618503075,-25.233544928708323,-25.115521887578648,left-hand
-25.661739821559078,-24.772319568415746,-24.623089666844418,left-hand
-25.976192295883816,-24.888428466512952,-25.268723364689244,left-hand
-25.474049114408967,-25.04296795609239,-24.996749951465084,right-hand
-25.624569921051428,-25.350067145260432,-25.42004134269371,left-hand
-25.648749184457394,-25.036737180513253,-24.911819139166298,left-hand
-25.27332274323005,-24.711726776570522,-25.266870601877624,left-hand
-25.113011155963306,-24.86707902216946,-24.457724770510854,left-hand
-25.935123700767544,-25.42089626868282,-25.64571548325992,right-hand
-25.23038462602849,-25.16897436528579,-24.686645728917924,right-hand
-25.528095456350893,-24.53267574275137,-25.01911072675552,right-hand
-25.338708516967408,-25.015489808615715,-24.863322457223294,left-hand
-25.253660286198368,-25.06217668475884,-25.06312897513239,right-hand
-24.796073732982936,-25.144781625601986,-24.79922013788719,left-hand
-25.460282241798463,-24.92330956442853,-24.937981839263315,right-hand
-25.161789228151182,-24.960810766717078,-24.498080035710537,right-hand
-25.387765855833635,-25.05430855246502,-25.321016388991495,right-hand
-25.08577898530054,-25.24065694703913,-24.850772632575723,right-hand
-25.63468012855529,-25.361475618950898,-25.815007330934193,left-hand
-25.626807365569356,-25.12254962626646,-25.00078273146817,right-hand
-25.970675695310252,-25.266529114055004,-25.26400779613581,left-hand
-25.85538558757718,-24.938328521727392,-25.32560892476976,right-hand
-25.738424537423953,-25.128678845756173,-25.74296230429698,left-hand
-25.54978436023634,-25.10622681036529,-25.031002285291468,left-hand
-25.699141936276913,-25.159219941957602,-24.987833729393053,right-hand
-25.526063461951185,-24.95569910024085,-25.12101513062881,left-hand
-25.65818031156547,-25.18912030102471,-25.749796982542303,right-hand
-25.112741293370448,-24.958335178448056,-24.538097987101946,right-hand
-25.22747552549857,-24.577433729149785,-25.20792280117124,left-hand
-25.17891732012353,-24.58256274903748,-24.652229975589368,right-hand
-25.060433275859356,-24.598892285861087,-24.949916852300863,right-hand
-25.672092588202272,-24.785301668377762,-24.516121152513875,left-hand
-25.264516548163563,-24.708304123102383,-25.214393601260795,right-hand
-25.030391963144346,-24.808836927765398,-24.634937164847564,left-hand
-25.902099420129748,-25.061577644599183,-24.821814758179535,left-hand
-25.60561095091927,-25.278179576649986,-25.044449871218784,right-hand
-25.79427523941298,-25.4984735199098,-25.17404320117597,right-hand
-25.350501393627635,-25.868299059918936,-25.235458678548948,left-hand
-25.31385190129772,-24.760933486494867,-24.888736288432806,right-hand
-25.663415917542583,-24.811099181841023,-25.289249016747853,left-hand
-25.76402080650711,-25.48576021380063,-25.78152957710557,right-hand
-25.843725341490632,-25.365160886319448,-25.16949748972663,left-hand
-25.877736083355096,-25.703422409196982,-25.65749168863304,right-hand
-26.08846178177232,-25.631724683299232,-25.963393875850578,left-hand
-26.164862620315247,-25.915342129969364,-26.239209480977788,left-hand
-25.98115368804676,-25.225407196166323,-25.86464873673198,left-hand
-25.830162014649847,-25.57516976399378,-25.859485723010067,right-hand
-25.427075689294124,-25.196733002077295,-25.520225887829582,left-hand
-25.361802587005613,-24.930584984188414,-25.152373593293902,left-hand
-25.175711563927766,-24.989304380150603,-25.123204928117236,left-hand
-25.978340836759177,-25.517918564390982,-25.05977779109334,right-hand
-25.736842474833942,-25.75597812420342,-25.33172300528568,left-hand
-25.574375724436237,-25.096744768266245,-25.488240970351747,right-hand
-25.969006615288944,-25.387585410283293,-25.472803394824034,left-hand
-25.643519691254586,-25.45348715213329,-25.62775647657914,right-hand
-25.31863137733901,-24.950824527485974,-25.16019173773245,left-hand
-25.421572852323354,-25.18026368280887,-25.298184073781176,left-hand
-25.851405656197162,-25.773801091053745,-25.401294105216266,left-hand
-25.703983070993925,-25.044143427042215,-25.159374393382876,left-hand
-25.21747632383746,-25.23242260184673,-25.004565562289603,left-hand
-25.457838043280745,-25.3527729774413,-25.470067584420057,right-hand
-25.66325549298584,-25.5949267031896,-24.593449967797362,right-hand
-25.971544591093867,-25.33459034128382,-25.14959148693559,right-hand
-25.39560614696168,-25.187358375676578,-25.18306903821905,left-hand
-24.73696063256146,-25.26943009380547,-25.927910252766488,right-hand
-25.516952652196018,-25.344649077438053,-25.09288980102594,right-hand
-25.572391552964348,-25.356732695857335,-25.330501064299828,right-hand
-25.621066463055488,-25.262411266293945,-24.62866328588233,right-hand
-25.133413074502517,-25.003795627380402,-24.966321095274076,left-hand
-25.197887482700807,-24.73679877499603,-25.648624214404435,right-hand
-25.516168103249086,-24.912469069688864,-25.084137324453465,right-hand
-25.742501836569748,-24.99516865095467,-25.29055647748423,right-hand
-25.476281211740524,-25.599118838329844,-25.133441730390253,left-hand
-25.102660472088072,-25.67313906987208,-24.82409944010665,left-hand
-25.69223830346945,-25.137033744212847,-25.39000971900501,right-hand
-25.44036682325211,-25.012310037871003,-25.24147875510632,right-hand
-25.633439929898007,-24.963769387418193,-25.830859167837982,left-hand
-25.453273089978772,-24.94425210397873,-25.635431752393266,right-hand
-25.887775088884226,-25.453682604949833,-25.37323304324733,left-hand
-25.195957541376135,-25.510183507218127,-24.673912644736497,right-hand
-25.878592915027703,-25.266994825769753,-25.56277111691318,right-hand
-25.158788799027157,-24.90412164448085,-25.19178915200269,left-hand
-25.57082643817932,-25.314628827471914,-25.589637640089354,left-hand
-25.621964051538363,-25.28015169515583,-24.827814249522365,right-hand
-25.370384736118073,-25.301351069788378,-25.110989680012313,left-hand
-25.333869138614773,-25.028670903578465,-25.296071758284224,left-hand
-25.71426487823497,-25.580171852501685,-25.867769860582197,left-hand
-25.854175291771906,-25.540383039945283,-25.108383565489635,right-hand
-26.13077200456005,-25.98191911989997,-25.912471196542548,left-hand
-25.65349274721679,-25.187056605055375,-25.81366944180633,left-hand
-25.673808334694353,-25.242752218900357,-25.33554002208358,right-hand
-25.627083881984046,-25.48612320774513,-25.510075947762104,right-hand
-25.572963453480213,-25.799322490209963,-25.600162815775015,right-hand
-25.671291235269884,-25.720810218550582,-25.691205456550254,left-hand
-25.437395244442264,-25.396736402944057,-25.094451788966637,right-hand
-25.454896998241342,-24.910131829361852,-25.10890378568643,right-hand
-24.985230469680136,-25.62091113764685,-24.31497658594926,right-hand
-25.21956808018104,-25.198217669007818,-25.328510269721015,left-hand
-25.74684739643177,-25.326377736643366,-25.43441098817814,right-hand
-25.89354950408855,-24.92189988980234,-25.409019218137836,left-hand
-25.885736053015343,-26.010995599712743,-25.530441954547268,right-hand
-25.686169728221476,-25.220262523687403,-25.354890354369292,left-hand
-25.251600165311523,-25.215428985695315,-25.45164021259439,right-hand
-24.880752331135454,-25.12582488018542,-25.30837907830355,right-hand
-25.148122461085848,-25.460532115887975,-25.11245316798368,right-hand
-25.091296000520366,-24.987137068621106,-25.61014561593779,left-hand
-25.643742322816127,-25.524253492899998,-25.61710554134441,left-hand
-24.887495747237335,-24.963777007137228,-24.81494742448942,left-hand
-25.988675226243483,-25.27831641309006,-25.96208943142408,left-hand
-25.63189882201974,-25.672874451560563,-25.67594610889845,left-hand
-25.751613914977177,-25.83384915167277,-25.27839378025595,right-hand
-25.875103227601116,-24.763219936705596,-25.14886706921221,right-hand
-25.064802479949822,-25.13388717986821,-25.15351299749463,right-hand
-25.82009602700048,-25.423942500559235,-26.22849715740469,left-hand
-25.51658779636114,-25.44015341718918,-25.83254119229779,left-hand
-25.603524579773836,-25.339224327728505,-24.935440612204687,right-hand
-25.57928860922423,-25.46062739759249,-25.021798393534244,right-hand
-25.706022850162036,-25.586522842914942,-25.638011885383076,left-hand
-25.954159592597176,-25.557920815973343,-26.065080365501746,left-hand
-25.3337007889305,-24.87478697901968,-25.82290023765087,right-hand
-25.903765454966695,-25.928803365492993,-25.4847367222381,right-hand
-25.565954548496737,-25.14440989728081,-25.171384122297773,right-hand
-25.384402055322184,-25.179197776504203,-25.41337755771798,right-hand
-25.50649875673941,-25.273929450743697,-25.73802237318216,left-hand
-25.328717354947106,-25.282575964144506,-25.965415976360493,right-hand
-25.60671429587276,-25.493012907341658,-25.62987242000913,left-hand
-25.00430712646323,-25.031838372460836,-25.289887677044565,left-hand
-25.93660575485914,-25.454169916471063,-25.265178808215385,right-hand
-25.656448729078082,-25.13916776216702,-25.03182596060276,right-hand
-25.992420479686416,-25.86334591167536,-26.079350772257623,left-hand
-25.11796523425406,-24.997677273623847,-24.959232396663218,left-hand
-25.030606449120903,-24.86570907710102,-25.25669499609677,left-hand
-25.644513580016614,-25.478422275199886,-25.937775129994996,left-hand
-25.393611917967103,-25.27084753677942,-25.43088657422271,left-hand
-25.41482945444946,-25.03844414222801,-25.342038081450067,left-hand
-25.94460775097034,-25.346249937265334,-25.29930341787078,left-hand
-25.845471568352664,-25.444763504220436,-24.803058869693487,right-hand
-25.790445901868658,-25.22035222659635,-24.888168219504006,right-hand
-25.251308849319848,-25.232750302289844,-24.95840380982769,right-hand
-25.635885804148046,-25.397019166658545,-25.58438564740314,right-hand
-25.683120967698432,-25.06681775681424,-24.880347964734973,right-hand
-25.132877399832985,-24.771964763489454,-24.84334582699016,left-hand
-25.56984420772039,-25.42069849774529,-25.933153410316844,left-hand
-25.552493581017643,-25.156199222509603,-24.968204092707747,right-hand
-25.993999460697815,-25.61103440029752,-25.901917468055384,left-hand
-24.936012392189024,-25.50310132908341,-24.715439314057424,left-hand
-25.614772133390765,-25.30287892734246,-25.025586912067087,right-hand
-25.47741705999048,-25.040193609799534,-25.606996953505508,left-hand
-25.672137189032277,-25.20433143063371,-25.495197744333282,left-hand
-25.554644372304825,-25.173474712264944,-25.49665752326231,left-hand
-25.57781490143439,-25.353736911894067,-25.546393577336193,left-hand
-25.764748601999568,-25.282806111907224,-25.566825482127218,right-hand
-26.052896722009923,-25.690329179625646,-25.373799236533486,right-hand
-25.47545883861295,-25.38685911052333,-25.160594610190255,right-hand
-25.309284989770735,-25.1236205730447,-25.115744804742302,right-hand
-25.99603424599609,-25.457114517873144,-25.556748247344203,right-hand
-25.643362473273818,-25.776291978015358,-25.937835674819464,left-hand
-25.6542454617227,-25.476231988540682,-25.389050238714088,right-hand
-25.02640097347972,-24.867671813412155,-24.85862323992841,right-hand
-25.695340850450243,-25.044147735260015,-25.146148358568073,left-hand
-25.01665299978516,-25.036488928206474,-25.26928708845332,left-hand
-25.383012533533172,-25.279113286555887,-25.144480941558292,left-hand
-25.229050628019696,-25.14361684609697,-25.165978160270758,left-hand
-25.37008030742441,-25.15680881800313,-25.34656371296831,left-hand
-26.021469249873448,-25.40534290138659,-25.298855668821428,left-hand
-25.177372444535102,-25.47943571465723,-25.52256142868719,left-hand
-25.212653864928214,-25.48346885638733,-24.76978935263191,right-hand
-25.307060623403157,-25.02491754441835,-25.044954057733545,left-hand
-24.647685520417443,-25.1411603591572,-24.057845522987122,right-hand
-25.19625344140755,-24.887672419323582,-24.838294411966526,left-hand
-25.62082166070979,-24.997562298725857,-25.229637801726344,right-hand
-25.45310960114287,-24.76457562267219,-25.408535841502292,right-hand
-25.150086298803455,-25.14277429865235,-25.342038323251867,left-hand
-25.41323811821522,-25.25480360676403,-25.735640310650435,left-hand
-25.871234416715723,-26.126970389050253,-25.214791541549925,right-hand
-25.544803737274595,-24.865833878813262,-24.44689812731228,right-hand
-25.316388975293652,-25.26938692022338,-25.301009619205043,right-hand
-25.23319412611577,-25.312582007981163,-25.535226476251065,right-hand
-25.239893132308044,-25.26343984289417,-24.699168138811753,left-hand
-25.808391130387594,-25.486353637648744,-25.86061658807178,left-hand
-24.991330974226475,-24.650772194582913,-25.27424053767422,left-hand
-25.768289258327446,-25.38803496339559,-25.556886425008827,left-hand
-25.840532951707555,-25.56027549996021,-24.97572278950504,right-hand
-25.603053277030664,-24.91804339209426,-25.548160361461274,left-hand
-25.65097285333988,-25.170603619104654,-25.731905333403166,left-hand
-25.233686747488512,-25.006856966763433,-24.784616563135803,right-hand
-25.730348922296432,-25.430338102637542,-25.189694013701317,right-hand
-25.0969156339302,-24.877250609417423,-25.209211850007307,left-hand
-25.55228857275766,-25.03973580509288,-25.415242253729918,left-hand
-25.738818855189308,-25.456858451277068,-25.41371727945071,right-hand
-25.03629673374142,-25.227187695596385,-25.259393533415253,right-hand
-25.41459880846155,-24.853442931141807,-24.879097186833498,right-hand
-25.497744433696106,-25.101113553995216,-25.062054490943716,right-hand
-25.511150917864626,-25.4408404806391,-25.077587515723547,right-hand
-25.29267603541698,-24.986643087668824,-24.878762561076716,right-hand
-25.315321920585827,-25.260742862714704,-25.187690283521952,right-hand
-25.44380225218873,-25.186206669008158,-25.636333895847887,left-hand
-26.15835689493326,-25.859686149261382,-25.29388669670628,right-hand
-25.27141494181991,-25.214306223476136,-24.996915704102985,right-hand
-25.515836043002135,-25.573259886310872,-25.672159389823634,left-hand
-25.54597008438497,-25.34751827394885,-25.93482866232964,right-hand
-25.503179732405478,-25.235646402006406,-25.42285213193052,left-hand
-25.338754972663637,-24.906115659972862,-25.105224598778907,right-hand
-25.52111456143439,-25.174321865192166,-25.619793250962065,left-hand
-25.549123297136575,-25.778432507851253,-25.397296899547467,left-hand
-25.589673570021034,-25.507987412753064,-26.283296634196763,left-hand
-25.298120201983885,-25.071972900866694,-25.25150363954332,right-hand
-25.49348460367248,-25.373549912284513,-25.08823474401884,left-hand
-25.324995177785716,-25.236768584121034,-25.371640986889226,left-hand
-25.71594402889941,-25.83247603664981,-25.294400467278347,left-hand
-25.621127513184856,-25.29696404118276,-25.86091108259032,right-hand
-25.14344633696024,-25.456748883486636,-25.47344598182247,left-hand
-25.69613780457113,-25.405144308510476,-25.5642638722589,right-hand
-25.730721569563723,-25.447152285173846,-25.81752837048758,left-hand
-25.96171056191133,-25.438551924999533,-25.74358004466796,right-hand
-25.941704974667662,-25.822433756173712,-25.95891012527561,left-hand
-26.30126736085239,-25.738072673673717,-26.37352164066845,left-hand
-25.26137727770782,-25.23381650498322,-25.55174715915382,left-hand
-25.857435488525123,-25.702828069149334,-25.840645212094447,left-hand
-26.065212418206414,-25.574089024213514,-25.829660632885584,left-hand
-25.706584275912743,-25.60432294136846,-26.020491368926777,right-hand
-25.84408081454113,-25.32599051311095,-25.7036265023058,right-hand
-26.057353581933807,-25.27483790608419,-26.152240014191992,right-hand
-25.71727087227812,-24.782449824752455,-26.52145812892118,left-hand
-25.18724258606431,-25.603503537539403,-25.96086839494587,right-hand
-25.807437539371172,-25.24455337026989,-25.82301249157484,right-hand
-25.62280064991563,-25.413061834272476,-26.03973736982147,right-hand
-26.087111017085217,-25.813841512420815,-25.966664708667007,right-hand
-25.263744552901688,-25.160097193089317,-25.730660224771732,left-hand
-24.939490371954953,-25.492873156943514,-25.256128335248757,right-hand
-25.803693243829887,-25.82668116493294,-26.015881861869183,right-hand
-25.99958597900826,-25.59592953091112,-25.119206551454894,right-hand
-25.643036022579107,-26.05014099609207,-26.087864671695876,left-hand
-25.260168334233445,-25.26385322471092,-25.604702394385363,left-hand
-25.596480751060827,-25.737721700870146,-26.12766505078854,right-hand
-25.25292043291216,-25.05682046440727,-25.828889554997446,right-hand
